game_id,week,team,epa_total,jogadas,epa_scrimmage,jogadas_scrimmage,season
2017_07_NO_GB,7,NO,14.604740147756965,90,17.907617397523097,72,2017
2017_07_NYJ_MIA,7,MIA,-0.2788297786879905,93,-3.3063803124369926,65,2017
2017_07_NYJ_MIA,7,NYJ,-1.26562633734798,75,2.182850457407767,51,2017
2017_07_SEA_NYG,7,NYG,-20.15033847374381,80,-18.799304650484224,57,2017
2017_07_SEA_NYG,7,SEA,1.2921586582831508,91,2.148502275980327,70,2017
2017_07_TB_BUF,7,BUF,8.319238000623736,89,10.574784574786785,67,2017
2017_07_TB_BUF,7,TB,6.521223937090108,88,9.956526538461583,70,2017
2017_07_TEN_CLE,7,CLE,-17.61708931287285,87,-18.27216226002203,66,2017
2017_07_TEN_CLE,7,TEN,-11.048805071099196,87,-13.66961124383979,68,2017
2017_07_WAS_PHI,7,PHI,10.725937148267208,84,12.173416838021899,60,2017
2017_07_WAS_PHI,7,WAS,2.050962103663332,81,1.9427792710189546,61,2017
2017_08_ATL_NYJ,8,ATL,2.6985629734415078,81,-2.5279963271249333,63,2017
2017_08_ATL_NYJ,8,NYJ,-5.966752765728258,82,-2.810815704968781,57,2017
2017_08_CAR_TB,8,CAR,-3.142115661029336,78,-5.039586772776222,61,2017
2017_08_CAR_TB,8,TB,-20.27555028174538,81,-16.827527776865097,63,2017
2017_08_CHI_NO,8,CHI,-9.175871336497831,83,-8.816334539761531,66,2017
2017_08_CHI_NO,8,NO,-2.601890601737658,76,-4.395462406006523,57,2017
2017_08_DAL_WAS,8,DAL,-2.598179006030697,86,2.4896156578399644,63,2017
2017_08_DAL_WAS,8,WAS,-22.526985520845145,78,-9.796786872916144,58,2017
2017_08_DEN_KC,8,DEN,-14.555575781821322,90,-15.572369177206639,71,2017
2017_08_DEN_KC,8,KC,-4.629771888633356,85,-17.066520002049497,58,2017
2017_08_HOU_SEA,8,HOU,12.572835863264965,91,12.097927947998205,69,2017
2017_08_HOU_SEA,8,SEA,10.573940663761215,91,7.901583548070125,62,2017
2017_08_IND_CIN,8,CIN,-7.622817312176485,72,-0.4582557728594985,51,2017
2017_08_IND_CIN,8,IND,-5.610395827009441,93,-3.6118306092481736,71,2017
2017_08_LAC_NE,8,LAC,0.33819916064450295,71,7.611754551203566,52,2017
2017_08_LAC_NE,8,NE,6.3145213718385875,104,5.493432481224139,82,2017
2017_08_MIA_BAL,8,BAL,5.230172728001411,83,3.1818059850063807,60,2017
2017_08_MIA_BAL,8,MIA,-40.829749919997994,86,-35.73823161978552,66,2017
2017_08_MIN_CLE,8,CLE,-9.37927343390659,78,-9.746171921963041,59,2017
2017_08_MIN_CLE,8,MIN,10.506070877673938,101,0.2539863044879078,79,2017
2017_08_OAK_BUF,8,BUF,10.608534471774279,87,9.089971835740242,62,2017
2017_08_OAK_BUF,8,LV,-12.106762274836754,83,-7.878846202977002,63,2017
2017_08_PIT_DET,8,DET,-5.789347082260065,87,-5.494451511019148,69,2017
2017_08_PIT_DET,8,PIT,2.230432469954714,80,1.173108518205793,57,2017
2017_08_SF_PHI,8,PHI,-2.3877772813412887,86,-3.7470410157037177,65,2017
2017_08_SF_PHI,8,SF,-27.03426802078267,86,-23.0235722227201,64,2017
2017_09_ARI_SF,9,ARI,-11.228080841449652,92,-6.387953263722006,70,2017
2017_09_ARI_SF,9,SF,-25.311645923953087,92,-22.788185213338316,73,2017
2017_09_ATL_CAR,9,ATL,-4.910025272721057,76,-7.298055017819547,57,2017
2017_09_ATL_CAR,9,CAR,-3.841202016169097,80,-6.372215717472823,63,2017
2017_09_BAL_TEN,9,BAL,-1.803771780773629,95,-1.8669941665929137,77,2017
2017_09_BAL_TEN,9,TEN,-0.9355403680658498,66,-2.1663243965101113,50,2017
2017_09_BUF_NYJ,9,BUF,-10.628827021732143,95,-15.620294096996076,69,2017
2017_09_BUF_NYJ,9,NYJ,4.081739078801862,86,10.238953725452454,59,2017
2017_09_CIN_JAX,9,CIN,-13.294530147642412,56,-5.230196494900156,35,2017
2017_09_CIN_JAX,9,JAX,7.588916245470657,91,8.273429228650228,77,2017
2017_09_DEN_PHI,9,DEN,-12.333311697903653,90,-14.103779740301963,60,2017
2017_09_DEN_PHI,9,PHI,14.640564970282963,89,11.545054820345882,66,2017
2017_09_DET_GB,9,DET,15.765528681180294,78,17.125574353479937,67,2017
2017_09_DET_GB,9,GB,-4.9082903240622064,74,-3.1346277194071552,58,2017
2017_09_IND_HOU,9,HOU,-10.83750945951262,90,-9.550247812455876,67,2017
2017_09_IND_HOU,9,IND,-0.35107199980349835,80,-0.8892114476617543,60,2017
2017_09_KC_DAL,9,DAL,13.245751153178352,80,13.373885995824821,65,2017
2017_09_KC_DAL,9,KC,2.7235147132136985,77,2.222492634749442,55,2017
2017_09_LA_NYG,9,LA,26.829987881038974,82,24.585669587072832,60,2017
2017_09_LA_NYG,9,NYG,-16.044480453389795,88,-6.001698799465718,65,2017
2017_09_OAK_MIA,9,LV,7.840289553468901,78,11.575768484694656,55,2017
2017_09_OAK_MIA,9,MIA,1.6562554520945016,83,5.9490011821026565,62,2017
2017_09_TB_NO,9,NO,1.5303493666076085,72,9.868179630700535,57,2017
2017_09_TB_NO,9,TB,-19.626978239391814,82,-14.264614212506775,57,2017
2017_09_WAS_SEA,9,SEA,-18.789319744595325,101,-2.3832409782159782,76,2017
2017_09_WAS_SEA,9,WAS,-12.220538946980502,82,-11.02004720278195,60,2017
2017_10_CIN_TEN,10,CIN,-6.771717766749353,67,-9.346266960550565,50,2017
